uid,pos_iid,neg_iid,pos_seq
418,18360,38541,"[492, 994, 1457, 2131, 7259, 7421, 9991, 12191, 12644, 13737, 13832, 14504, 15483, 16189, 16471, 16722, 17670, 17683, 17821, 17944, 17962, 18213, 18214, 18216]"
2763,18360,31823,"[475, 492, 628, 678, 737, 1690, 1697, 1707, 2634, 2677, 3469, 3814, 4041, 4069, 5026, 5027, 5070, 5554, 5607, 5613, 5669, 5811, 5836, 6316, 6518, 7566, 7814, 8724, 9093, 9777, 9831, 10523, 10525, 10526, 10530, 11549, 11728, 12671, 13121, 13581, 14764, 15748, 16084, 16334, 16388, 16420, 16444, 16685, 16854, 17231, 17487, 17504, 17519, 17593, 17594, 17670, 17683, 17699, 17737, 17738, 17821, 17832, 17882, 17938, 17951, 17957, 18023, 18060, 18079, 18092, 18105, 18175, 18185, 18190, 18217, 18228, 18238, 18239, 18249, 18294, 18318, 18319, 18322, 18330, 18355, 18357]"
750,18360,40390,"[189, 989, 1171, 1873, 2030, 2112, 2425, 2574, 2600, 3084, 3109, 4489, 4830, 4875, 5052, 5471, 6018, 6912, 7057, 9395, 10550, 11957, 13696, 14965, 15015, 15268, 15806, 17649]"
1014,18360,29569,"[366, 3084, 5310, 5735, 7145, 8237, 8667, 9068, 9639, 10749, 12577, 14055, 14504, 16388, 16468, 17231, 17380, 17487, 17572, 17596, 17834, 17836, 18023, 18194, 18204, 18286]"
3676,18360,32986,"[492, 2637, 8153, 9936, 11763, 16722, 16733, 17738, 18023, 18038, 18262]"
2126,18361,33906,"[837, 3537, 5249, 5268, 5672, 7242, 7780, 8892, 9775, 13543, 16569, 17040]"
1175,18361,22307,"[492, 628, 767, 795, 1232, 1267, 2000, 8495, 9991, 10750, 12101, 12143, 14963, 16021, 16084, 16372, 16472, 17572, 17683, 17699, 17736, 17833, 17850, 18081, 18132, 18139, 18190, 18219, 18238, 18239, 18260, 18295, 18298, 18338, 18343, 18344, 18357]"
1347,18361,36922,"[1644, 2340, 8828, 10749, 14297, 14764, 15477, 16188, 16491, 17776]"
3598,18361,22838,"[1414, 1635, 6064, 6595, 9807, 12604, 12607, 13547, 14421, 16685]"
3561,18361,29566,"[102, 452, 874, 963, 1022, 1235, 1371, 1428, 1594, 1603, 1666, 1788, 1963, 2050, 2430, 2833, 2849, 2854, 2937, 2976, 2983, 3200, 3375, 3616, 3875, 3955, 4060, 4090, 4245, 4247, 4282, 4360, 4377, 4418, 4880, 4890, 4957, 5016, 5021, 5027, 5028, 5090, 5170, 5181, 5367, 5470, 5493, 5568, 5847, 5886, 5908, 5953, 6320, 6349, 6672, 6720, 6726, 6729, 7156, 7177, 7294, 7437, 7890, 8225, 8264, 8417, 8455, 8609, 8684, 8883, 8992, 8994, 9068, 9070, 9175, 9240, 9305, 9390, 9479, 9659, 10386, 10387, 10391, 10527, 10763, 10799, 10837, 11027, 11189, 11268, 11390, 11664, 11782, 11806, 12203, 12208, 12487, 12575, 12607, 12650, 12724, 12852, 13038, 13110, 13335, 13446, 13517, 13586, 13691, 14047, 14418, 14595, 14735, 14830, 15025, 15102, 15121, 15235, 15357, 15531, 16084, 16186, 16368, 16600, 16617, 17184, 17205, 17217, 17359, 17380, 17567, 17627, 18017, 18018, 18023, 18054, 18078, 18166, 18233, 18245, 18273, 18316]"
3891,18361,37385,"[41, 701, 1948, 2135, 2175, 3580, 3792, 4069, 5242, 5532, 6104, 6506, 6611, 6614, 6734, 7388, 8722, 9949, 10525, 13328, 13848, 15763, 16168, 16388, 16419, 16444, 16866, 17218, 17935]"
1938,18361,21372,"[61, 76, 2305, 2612, 2691, 4457, 4467, 4632, 6599, 8903, 10749, 11161, 11523, 12606, 14459, 14504, 15119, 15763, 16189, 16722, 17196, 17338, 17488, 17504, 17508, 17570, 17822, 17987, 18038, 18060, 18193]"
3258,18364,22830,"[498, 2311, 5145, 5633, 5828, 9933, 12310, 14873, 16598, 17497, 18024]"
2659,18364,19856,"[68, 605, 1251, 1405, 2950, 3228, 3757, 9222, 10880, 12493]"
111,18365,35090,"[305, 667, 1963, 5249, 5258, 5933, 7905, 10725, 11230, 11661, 12097, 13986]"
1644,18365,38820,"[1790, 3402, 4657, 5473, 6767, 16432, 16620, 16681, 16784, 17318]"
337,18368,33996,"[709, 783, 923, 1084, 1149, 2008, 2063, 2187, 2295, 2853, 3108, 5828, 5850, 6621, 6626, 6636, 7295, 7900, 9558, 9587]"
3491,18370,38796,"[126, 682, 868, 1610, 1627, 2678, 2679, 3527, 4449, 5519, 10035, 10439, 10836, 12553, 13245, 16021, 16084, 16469]"
2056,18372,34372,"[149, 4019, 5331, 5371, 8977, 9743, 10652, 13334, 13335, 13717, 16651]"
405,18373,32415,"[75, 423, 606, 746, 787, 1083, 1644, 2709, 2786, 3905, 5079, 5310, 9991, 10404, 10675, 12129, 13204, 16722, 17683, 17821, 17850, 18156, 18214, 18219, 18228, 18238, 18260, 18272, 18285, 18301, 18322, 18344, 18356]"
2946,18377,31502,"[174, 1204, 3083, 3880, 5026, 5028, 6068, 6712, 8827, 9039, 9333, 10818, 11259, 12608, 13244, 17217, 17218, 17962, 18054, 18078, 18095, 18277, 18279, 18281]"
2950,18378,33630,"[92, 1008, 1512, 1647, 2171, 5307, 5878, 7162, 7835, 8221, 8339, 12307, 12488, 16416]"
3550,18378,26205,"[92, 802, 808, 1170, 1621, 3889, 4608, 4938, 5471, 6317, 8115, 10193, 11846]"
3332,18378,28646,"[92, 269, 440, 1847, 2876, 6220, 6842, 7102, 9529, 9937, 15298]"
3488,18379,28523,"[1600, 2448, 3105, 6208, 7044, 7047, 7623, 8609, 8640, 10385, 11644, 12110, 12296, 13078, 14385, 15774, 17498, 17712]"
3436,18379,21515,"[1591, 2705, 2786, 3922, 7416, 10380, 11712, 12478, 15953, 16900]"
98,18379,35674,"[326, 1553, 1554, 2092, 2136, 2423, 3387, 3583, 4069, 4370, 4882, 6021, 6562, 7095, 10016, 12860, 13915, 15981, 16044, 16272, 17199, 18307]"
319,18380,40142,"[963, 4764, 6149, 7397, 7905, 8264, 10033, 11786, 12111, 12114, 12191, 12250, 12333, 12388, 12839, 14722]"
979,18380,23813,"[848, 1438, 1635, 2237, 4017, 6567, 6865, 6940, 10008, 11596, 12993, 15857]"
1708,18382,35324,"[1073, 1337, 1339, 1340, 5021, 5759, 5765, 9217, 9667, 10526, 11946, 12604, 14963, 16368, 17572, 18002]"
1569,18386,22751,"[338, 1652, 2390, 2600, 3277, 4475, 5105, 5970, 6043, 6952, 7263, 7323, 7714, 9272, 9484, 9915, 10224, 11521, 12929, 12933, 13027, 13028, 14122, 14123, 14707, 14871, 14888, 15560, 15779, 16141, 16145, 17224]"
1569,18387,21090,"[338, 1652, 2390, 2600, 3277, 4475, 5105, 5970, 6043, 6952, 7263, 7323, 7714, 9272, 9484, 9915, 10224, 11521, 12929, 12933, 13027, 13028, 14122, 14123, 14707, 14871, 14888, 15560, 15779, 16141, 16145, 17224]"
1569,18389,34438,"[338, 1652, 2390, 2600, 3277, 4475, 5105, 5970, 6043, 6952, 7263, 7323, 7714, 9272, 9484, 9915, 10224, 11521, 12929, 12933, 13027, 13028, 14122, 14123, 14707, 14871, 14888, 15560, 15779, 16141, 16145, 17224]"
1065,18405,41098,"[476, 674, 1908, 3003, 3171, 4039, 4154, 4719, 4949, 7162, 7622, 11115, 17330, 18088]"
550,18406,40252,"[102, 3592, 3768, 4185, 4188, 4397, 4425, 5814, 5936, 5938, 5953, 6649, 7102, 7427, 7896, 8225, 8311, 9736, 10016, 10188, 12089, 12982, 13011, 13159, 13704, 14658, 14846, 14991, 15812, 15984, 16798, 16911, 17051, 17525]"
542,18408,24817,"[1045, 1073, 3387, 3388, 4180, 5822, 7579, 9172, 9603, 11839, 14539]"
1569,18408,33084,"[338, 1652, 2390, 2600, 3277, 4475, 5105, 5970, 6043, 6952, 7263, 7323, 7714, 9272, 9484, 9915, 10224, 11521, 12929, 12933, 13027, 13028, 14122, 14123, 14707, 14871, 14888, 15560, 15779, 16141, 16145, 17224]"
1899,18409,26595,"[2630, 3784, 5625, 8226, 11063, 12095, 12821, 13529, 14539, 18013]"
1721,18410,21573,"[1898, 2634, 3231, 5932, 6972, 8388, 10362, 10404, 12146, 12385, 12547, 12900, 15175, 15782, 16866, 17737, 17976, 18210, 18241]"
3670,18412,37975,"[718, 990, 1012, 1100, 1730, 2634, 2788, 4773, 5577, 7088, 8002, 10675, 11028, 11700, 14590]"
2064,18417,30132,"[142, 324, 1171, 1844, 2633, 2786, 2787, 4788, 4914, 5969, 7694, 11026, 11317, 13437, 13934, 14122, 18060]"
3158,18417,29825,"[617, 5905, 7054, 8133, 8553, 8828, 10750, 16733, 17736, 17738, 17833, 17834, 17950, 17951, 17993, 18161]"
427,18424,27347,"[628, 1227, 1268, 1341, 1519, 1935, 1948, 2360, 2586, 3280, 4282, 5857, 6323, 7180, 7424, 8095, 8129, 8202, 9354, 9860, 9941, 13468, 13587, 14591, 18154]"
22,18425,41172,"[305, 2459, 3598, 10692, 13906, 13986, 14706, 14932, 15185, 16934]"
2126,18426,34741,"[837, 3537, 5249, 5268, 5672, 7242, 7780, 8892, 9775, 13543, 16569, 17040]"
2336,18426,30804,"[75, 694, 1233, 4494, 4747, 5161, 5540, 6286, 6443, 9991, 11483, 11547, 13466, 13510, 14089, 15748, 16722, 17683, 18002, 18152, 18153, 18288]"
1018,18426,23240,"[313, 1948, 1954, 4707, 5352, 6720, 10735, 10924, 12067, 15618, 17662]"
1639,18426,30824,"[501, 950, 1478, 1692, 3772, 7028, 7072, 7689, 7695, 8678, 9130, 9437, 9849, 12150, 13606, 15232, 17194, 17591]"
470,18426,38638,"[1812, 2073, 3758, 5228, 6886, 12778, 13143, 13527, 17034, 17732]"
3633,18426,19332,"[93, 1185, 1233, 1852, 3672, 3759, 5267, 5805, 5973, 6331, 9222, 10710, 12622, 13183, 13727, 15732]"
180,18426,40969,"[10749, 13670, 14764, 15763, 17274, 18002, 18023, 18060, 18240, 18335]"
1930,18426,36534,"[366, 738, 1785, 2487, 3189, 3523, 4634, 4665, 4738, 4980, 5904, 6331, 7230, 7356, 8022, 8221, 8609, 10148, 10490, 10726, 10972, 11428, 14286, 14554, 14595, 15249, 15338, 16199, 16382, 16735]"
2757,18426,41040,"[797, 2050, 2237, 2251, 2273, 2278, 4038, 4729, 4768, 8220, 10913, 15139]"
3089,18426,37080,"[1684, 2016, 2021, 2649, 3763, 7661, 7735, 8233, 8906, 9657, 10915, 11487, 12194, 15244]"
1535,18426,38927,"[1462, 2092, 10872, 11413, 15954, 16668, 16726, 16786, 17380, 17648]"
2350,18428,28301,"[187, 3213, 4152, 5907, 7470, 7471, 8652, 10476, 11425, 11665, 15479, 15763, 17938]"
20,18429,30099,"[732, 960, 3625, 5685, 7952, 8134, 9033, 9089, 10237, 11712, 14098]"
